A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
101,328.3403499961724,1.0,0.39286087972213346,38.471288509420106,1.0,0.829514943421817,42.58783866021229,1.0,0.06902776721229274,193.9031802682951,1.0,0.21991441510525533,190.94546547099853,1.5,0.026387474273482252,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null_policy,dikesnet
76,117.42595559021953,10.0,0.8047977199247186,328.94923253883184,1.5,0.3677982437138017,32.23621446068674,1.5,0.3366368901331796,134.22487254429086,1.0,0.042275671452034175,277.8966344994273,1.5,0.3274213298023343,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,null_policy,dikesnet
119,302.7762927309002,10.0,0.23642293995997035,320.1191120418352,1.0,0.9404171487322996,187.764449839402,1.0,0.4473321541949707,131.510848088739,1.5,0.7020951539656012,315.3360315629476,1.5,0.36952369749393266,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,null_policy,dikesnet
31,111.5685580359362,1.5,0.5088198998897984,104.2454176733885,1.5,0.07056599119770128,102.12987269736406,1.0,0.993558730905194,175.2448535115083,1.5,0.6030553047372242,89.85619111675557,1.0,0.9556945308232874,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null_policy,dikesnet
56,330.1640306031724,10.0,0.7374411787532881,309.25749889556124,10.0,0.40532822148802217,58.658844499873865,1.0,0.5626640224441373,283.2385270170626,1.0,0.8797487435543598,326.8443906789234,1.0,0.08027519116695261,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,null_policy,dikesnet
1,245.5575160284659,1.5,0.9725288284315294,105.99249236029068,1.5,0.9778042865847204,165.53303010724855,1.5,0.8081276459213009,168.39337785668124,10.0,0.8207173609535123,232.31596190271915,10.0,0.5880723651003432,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,null_policy,dikesnet
29,194.86312920145036,1.5,0.7516317366906599,300.1239965322692,1.5,0.710000070880955,51.093419743563715,1.0,0.7689631788877602,301.03706021482594,10.0,0.43541306460631163,95.73774610808094,1.5,0.5356390964164836,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,null_policy,dikesnet
88,287.6319409910994,1.0,0.5930063368829604,174.42227788848825,1.0,0.5946063984879008,229.43255688151905,10.0,0.506540301075172,311.3254116625507,1.5,0.03201914611539567,41.40570356196013,1.0,0.6100160783579051,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,null_policy,dikesnet
119,125.7869564023227,10.0,0.28233558744262355,289.0706611850732,1.5,0.6407094020446812,62.79056602153643,10.0,0.2620313093578707,101.39585641760819,1.0,0.7858462840578578,86.07350272258898,10.0,0.8281294799397573,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,null_policy,dikesnet
49,303.59855757376266,10.0,0.17846146545475086,251.50556163553486,1.5,0.44190192159164726,123.99848464694146,1.0,0.3083713452425806,50.058994563039775,1.5,0.5847722660855518,69.18835648776937,1.0,0.1966216749657749,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,null_policy,dikesnet
