,epsilon_progress,nfe
0,0,0
1,42,100
2,312,1199
3,429,2288
4,470,3378
5,494,4469
6,506,5557
7,511,6650
8,514,7744
9,518,8837
10,520,9929
11,533,11138
12,534,12353
13,535,13576
14,538,14792
15,540,16010
16,540,17228
17,541,18441
18,542,19653
19,542,20868
20,542,22084
21,542,23304
22,542,24520
23,542,25739
24,542,26958
25,542,28177
26,542,29399
27,542,30614
28,542,31834
29,542,33054
30,542,34275
31,542,35496
32,542,36717
33,542,37938
34,542,39156
35,542,40370
36,542,41587
37,542,42801
38,542,44022
39,542,45235
40,542,46455
41,542,47671
42,542,48888
43,542,50104
