0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0
0,0,0,0,0,0,6,0,3,5,1
0,0,0,0,0,1,6,4,0,6,0
0,0,0,0,0,1,1,5,0,6,10
0,0,1,1,0,1,5,6,0,4,1
1,0,1,1,0,1,0,8,0,2,9
1,0,1,0,0,2,0,9,0,3,2
0,0,0,0,0,2,1,4,0,5,1
0,0,1,1,0,1,1,6,0,6,0
0,0,1,0,0,2,6,6,0,7,2
0,0,1,1,0,2,4,2,0,4,8
0,0,0,0,0,2,6,4,0,4,6
0,0,1,1,0,2,6,4,0,5,5
0,0,0,0,0,2,0,9,0,8,2
0,0,1,1,0,2,0,0,0,5,6
0,0,0,0,0,2,7,0,0,5,7
0,0,0,0,0,2,0,5,0,6,1
0,0,1,0,0,1,4,2,0,6,9
0,0,1,0,0,1,1,5,0,2,4
0,0,1,0,0,2,1,4,0,5,2
0,0,1,1,0,2,1,5,0,4,8
0,0,0,0,0,1,7,2,0,6,9
0,0,1,0,0,2,6,1,0,2,1
0,0,0,0,0,2,0,4,0,4,8
0,0,0,0,0,1,0,3,0,2,8
0,0,0,0,0,1,0,5,0,5,10
0,0,0,0,0,2,5,6,0,3,1
0,0,1,1,1,2,0,7,0,1,2
0,0,1,0,0,2,4,2,0,5,1
0,0,0,0,0,1,6,0,0,2,1
0,0,1,0,0,1,7,0,0,5,6
0,0,0,0,0,2,0,3,0,2,5
0,0,0,0,0,1,7,3,0,6,4
0,0,0,0,0,1,4,1,0,6,6
0,0,1,1,0,2,4,6,0,4,3
0,0,0,0,0,2,0,6,0,4,3
0,0,1,0,0,0,0,0,2,8,2
0,0,1,1,1,3,0,7,0,1,4
0,0,0,0,0,1,5,0,2,6,7
0,0,1,0,0,1,7,1,0,4,10
0,0,1,0,0,2,4,5,0,4,2
